stance_pct,R_avg,L_avg,R_std,L_std
79,-75.7736027362924,-72.2539215010036,15.1827942825859,27.7747668911788
80,-70.2714842204087,-71.5851301706421,18.2749047217672,27.306365697491
81,-65.2657430919074,-70.2228852797698,22.5678746604601,26.4835513190052
82,-60.001264139051,-68.5206393333602,25.1776160132444,25.5451018629316
83,-53.2921503479288,-66.1219690060348,30.7782854050469,24.683255121229
84,-45.8984518811977,-64.0451705755594,32.8488901315326,24.5155793581369
85,-42.4213163441292,-61.506753986627,33.836179107184,24.9235344553233
86,-39.5355879056468,-57.9075745367336,34.199935204218,26.1317069747464
87,-35.947944646174,-51.4953102347372,33.8385105586374,29.7179216590876
88,-33.4260899575597,-47.1048549896964,32.3558706680511,31.2125380626953
89,-26.4542728107539,-41.9683005475571,27.8667709582449,30.2513256356141
90,-24.2641194221127,-36.4454242159082,25.5579738423692,29.3377795608342
91,-19.9662884210829,-31.712332753118,20.8407577487851,25.2265635964964
92,-16.6401942835481,-28.9928997823317,18.8992043582653,22.6304395894046
93,-14.0329474740604,-23.1184438793311,15.1484015113853,15.88087615438
94,-10.5655271771153,-13.2778994331672,7.62652046743183,7.52871718486423
95,-7.76637797363716,-10.8098300044183,1.4326224826107,7.24625842042514
96,-5.9708350643966,-8.98185916456702,2.20073169766193,7.69016591681023
97,-1.48167794873487,-5.9793740794007,2.0609270927725,8.63820239086804
98,1.98021045406043,-1.84190239697829,0.461673473865702,10.3723689913637
99,3.15817876616561,-0.598859475398147,0.186174930122668,11.7309271965713
100,3.18068170760007,-0.847855647835488,0.363302758827667,13.1734242090938
